,Latitude,Longitude,Lane Count,Month,ClimateType,Estimated Monthly Consumption (kWh)
83,24.698006,120.860086,3.0,6,-0.3868920915648947,1627.5
84,24.698006,120.860086,3.0,7,-0.279218197638708,1734.5
85,24.698006,120.860086,3.0,8,0.1393324405746655,1734.5
86,24.698006,120.860086,3.0,9,-0.3612773214951269,1655.0
87,24.698006,120.860086,3.0,10,-0.2068747130213329,1655.0
88,24.655964,120.838242,3.0,4,-0.5979172513023339,1558.5
89,24.655964,120.838242,3.0,5,-0.644329105916345,1558.5
90,24.655964,120.838242,3.0,6,-0.390217616069397,1739.0
91,24.655964,120.838242,3.0,7,-0.2801231787444664,1739.0
92,24.655964,120.838242,3.0,8,0.1647599114085546,1678.5
93,24.655964,120.838242,3.0,9,-0.3689840647051761,1678.5
94,24.655964,120.838242,3.0,10,-0.1615300721164424,1650.0
95,24.655964,120.838242,3.0,11,-0.1540263195739317,1650.0
96,24.627161,120.814006,3.0,4,-0.5243260600739542,1674.5
97,24.627161,120.814006,3.0,5,-0.6106158499145462,1674.5
98,24.627161,120.814006,3.0,6,-0.3194471441754734,1762.0
99,24.627161,120.814006,3.0,7,-0.2523744389061442,1762.0
100,24.627161,120.814006,3.0,8,0.2003136315110912,1612.0
101,24.627161,120.814006,3.0,9,-0.3740136799402567,1612.0
102,24.627161,120.814006,3.0,10,-0.0808439430119898,1550.0
103,24.627161,120.814006,3.0,11,-0.085749761462079,1550.0
104,24.579642,120.764417,3.0,4,-0.4620100269400017,1580.0
105,24.579642,120.764417,3.0,5,-0.5718784134813208,1580.0
106,24.579642,120.764417,3.0,6,-0.3171616106119817,1626.0
107,24.579642,120.764417,3.0,7,-0.3225188818897641,1626.0
108,24.579642,120.764417,3.0,8,0.1598629346610036,1497.0
109,24.579642,120.764417,3.0,9,-0.421596840828036,1497.0
110,24.579642,120.764417,3.0,10,-0.0192948702793303,1519.0
111,24.579642,120.764417,3.0,11,-0.0450535387989374,1519.0
112,24.531125,120.733253,3.0,4,-0.4240857250059415,1822.5
113,24.531125,120.733253,3.0,5,-0.5159690710468519,1822.5
114,24.531125,120.733253,3.0,6,-0.259013364567306,1864.5
115,24.531125,120.733253,3.0,7,-0.3104404862619143,1864.5
116,24.531125,120.733253,3.0,8,0.1544253166458955,1707.0
117,24.531125,120.733253,3.0,9,-0.4137174786622553,1707.0
118,24.531125,120.733253,3.0,10,0.0487949265533469,1609.0
119,24.531125,120.733253,3.0,11,0.0021331737526913,1609.0
120,24.467308,120.681217,3.0,3,-0.4322798844441967,1729.0
121,24.467308,120.681217,3.0,4,-0.3585741878450321,1729.0
122,24.467308,120.681217,3.0,5,-0.4290781444064793,1620.0
123,24.467308,120.681217,3.0,6,-0.1726616571662375,1620.0
124,24.467308,120.681217,3.0,7,-0.2881872523304213,1685.5
125,24.467308,120.681217,3.0,8,0.1526743213565315,1685.5
126,24.467308,120.681217,3.0,9,-0.4015494686864841,1657.5
127,24.467308,120.681217,3.0,10,0.160616192751109,1657.5
128,24.467308,120.681217,3.0,11,0.0770755233859326,1484.5
129,24.467308,120.681217,3.0,12,-0.3459789946284827,1484.5
130,24.341119,120.651567,3.0,4,-0.2600507035773328,1656.5
131,24.341119,120.651567,3.0,5,-0.3157072721319413,1656.5
132,24.341119,120.651567,3.0,6,-0.0786374737344752,1752.5
133,24.341119,120.651567,3.0,7,-0.2532633077240193,1752.5
134,24.341119,120.651567,3.0,8,0.1529849300202731,1682.0
135,24.341119,120.651567,3.0,9,-0.400756553580487,1682.0
136,24.341119,120.651567,3.0,10,0.3169711234525478,1598.0
